grid_index,theta,cutoff,low_part,high_part,marginal_effect,se,ci_low,ci_high,a_coef,b_coef,N_model,N_countries
31,.0431615502534905,.1030368341448663,.0598752838913758,0,.0434478107568015,.0118488353151988,.0202240935390119,.0666715279745911,.7256384927647849,-.2254508678587982,1060,60
32,.0451243955250471,.1030368341448663,.0579124386198192,0,.0420234946724187,.0114604040818024,.019561102672086,.0644858866727514,.7256384927647849,-.2254508678587982,1060,60
33,.0470872407966037,.1030368341448663,.0559495933482626,0,.0405991785880359,.0110719728484059,.0188981118051603,.0623002453709115,.7256384927647849,-.2254508678587982,1060,60
34,.0490500860681603,.1030368341448663,.053986748076706,0,.0391748625036531,.0106835416150094,.0182351209382347,.0601146040690715,.7256384927647849,-.2254508678587982,1060,60
35,.0510129313397169,.1030368341448663,.0520239028051494,0,.0377505464192703,.0102951103816129,.017572130071309,.0579289627672316,.7256384927647849,-.2254508678587982,1060,60
36,.0529757766112735,.1030368341448663,.0500610575335928,0,.0363262303348875,.0099066791482165,.0169091392043832,.0557433214653918,.7256384927647849,-.2254508678587982,1060,60
37,.0549386218828301,.1030368341448663,.0480982122620362,0,.0349019142505046,.00951824791482,.0162461483374574,.0535576801635518,.7256384927647849,-.2254508678587982,1060,60
38,.0569014671543867,.1030368341448663,.0461353669904796,0,.0334775981661218,.0091298166814235,.0155831574705317,.0513720388617119,.7256384927647849,-.2254508678587982,1060,60
39,.0588643124259433,.1030368341448663,.044172521718923,0,.032053282081739,.008741385448027101,.0149201666036059,.0491863975598721,.7256384927647849,-.2254508678587982,1060,60
40,.0608271576974999,.1030368341448663,.0422096764473664,0,.0306289659973562,.008352954214630601,.0142571757366802,.0470007562580322,.7256384927647849,-.2254508678587982,1060,60
41,.0627900029690565,.1030368341448663,.0402468311758098,0,.0292046499129734,.007964522981234101,.0135941848697546,.0448151149561922,.7256384927647849,-.2254508678587982,1060,60
42,.0647528482406131,.1030368341448663,.0382839859042532,0,.0277803338285906,.0075760917478377,.0129311940028287,.0426294736543525,.7256384927647849,-.2254508678587982,1060,60
43,.0667156935121697,.1030368341448663,.0363211406326966,0,.0263560177442077,.0071876605144412,.012268203135903,.0404438323525124,.7256384927647849,-.2254508678587982,1060,60
44,.0686785387837263,.1030368341448663,.03435829536114,0,.0249317016598249,.0067992292810447,.0116052122689773,.0382581910506725,.7256384927647849,-.2254508678587982,1060,60
45,.0706413840552829,.1030368341448663,.0323954500895834,0,.0235073855754421,.0064107980476483,.0109422214020514,.0360725497488328,.7256384927647849,-.2254508678587982,1060,60
46,.07260422932683951,.1030368341448663,.0304326048180268,0,.0220830694910593,.0060223668142518,.0102792305351258,.0338869084469928,.7256384927647849,-.2254508678587982,1060,60
47,.07456707459839609,.1030368341448663,.0284697595464702,0,.0206587534066765,.0056339355808553,.0096162396682001,.0317012671451529,.7256384927647849,-.2254508678587982,1060,60
48,.0765299198699527,.1030368341448663,.0265069142749136,0,.0192344373222937,.0052455043474588,.0089532488012745,.0295156258433129,.7256384927647849,-.2254508678587982,1060,60
49,.0784927651415093,.1030368341448663,.024544069003357,0,.0178101212379108,.0048570731140624,.0082902579343485,.0273299845414731,.7256384927647849,-.2254508678587982,1060,60
50,.0804556104130659,.1030368341448663,.0225812237318004,0,.016385805153528,.0044686418806659,.0076272670674228,.0251443432396332,.7256384927647849,-.2254508678587982,1060,60
