grid_index,theta,cutoff,low_part,high_part,marginal_effect,se,ci_low,ci_high,a_coef,b_coef,N_model,N_countries
49,.0593275238989405,.0041231435658208,0,.0552043803331197,-.0444041719816789,.0180222107595665,-.0797277050704292,-.009080638892928599,3.380271891177528,-.8043595764272844,1060,60
50,.0610375853247862,.0041231435658208,0,.0569144417589654,-.0457796762658368,.0185804832597272,-.08219742345490209,-.0093619290767715,3.380271891177528,-.8043595764272844,1060,60
51,.06274764675063189,.0041231435658208,0,.0586245031848111,-.0471551805499946,.019138755759888,-.0846671418393751,-.009643219260614099,3.380271891177528,-.8043595764272844,1060,60
52,.0644577081764776,.0041231435658208,0,.0603345646106568,-.0485306848341525,.0196970282600487,-.08713686022384801,-.009924509444457099,3.380271891177528,-.8043595764272844,1060,60
53,.0661677696023233,.0041231435658208,0,.0620446260365025,-.0499061891183104,.0202553007602095,-.089606578608321,-.0102057996282998,3.380271891177528,-.8043595764272844,1060,60
54,.06787783102816899,.0041231435658208,0,.06375468746234821,-.0512816934024683,.0208135732603702,-.0920762969927939,-.0104870898121427,3.380271891177528,-.8043595764272844,1060,60
55,.0695878924540147,.0041231435658208,0,.0654647488881939,-.0526571976866262,.021371845760531,-.09454601537726701,-.0107683799959854,3.380271891177528,-.8043595764272844,1060,60
56,.0712979538798604,.0041231435658208,0,.0671748103140396,-.0540327019707841,.0219301182606917,-.0970157337617398,-.0110496701798284,3.380271891177528,-.8043595764272844,1060,60
57,.07300801530570609,.0041231435658208,0,.06888487173988531,-.055408206254942,.0224883907608525,-.0994854521462129,-.0113309603636711,3.380271891177528,-.8043595764272844,1060,60
58,.0747180767315518,.0041231435658208,0,.070594933165731,-.0567837105390998,.0230466632610132,-.1019551705306857,-.0116122505475139,3.380271891177528,-.8043595764272844,1060,60
59,.0764281381573975,.0041231435658208,0,.0723049945915767,-.0581592148232577,.023604935761174,-.1044248889151587,-.0118935407313567,3.380271891177528,-.8043595764272844,1060,60
60,.0781381995832432,.0041231435658208,0,.07401505601742241,-.0595347191074156,.0241632082613348,-.1068946072996318,-.0121748309151994,3.380271891177528,-.8043595764272844,1060,60
61,.0798482610090889,.0041231435658208,0,.0757251174432681,-.0609102233915735,.0247214807614955,-.1093643256841047,-.0124561210990423,3.380271891177528,-.8043595764272844,1060,60
62,.0815583224349346,.0041231435658208,0,.0774351788691138,-.0622857276757314,.0252797532616563,-.1118340440685777,-.0127374112828851,3.380271891177528,-.8043595764272844,1060,60
